0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
14886, !, 194.68.129.177, AS25187, SFINX, Service for French Internet Exchange, FR, Paris
14887, !, 206.41.105.45, AS32286, Phoenix-IX, Phoenix-IX, US, Phoenix
14888, !, 187.16.221.41, AS52683, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
14889, ?, 187.16.216.26, AS22431, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
14890, !, 193.169.198.118, AS9070, BIX.BG, Bulgarian Internet eXchange, BG, Sofia
14891, !, 195.42.145.38, AS2200, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
14892, ?, 198.32.212.73, AS7477, WAIX, Western Australian Internet Association, IX Australia WA, West Australian Internet Exchange, AU, Perth
14893, !, 27.111.228.126, AS45102, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
14894, !, 103.203.158.30, AS4826, BBIX Hong Kong, BroadBand Internet eXchange Hong Kong, HK, Hong Kong
14895, ?, 187.16.218.139, AS8075, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
14896, !, 80.81.192.141, AS6730, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
14897, !, 192.65.185.147, AS44980, CIXP, CERN Internet Exchange Point, CH, Geneva
14898, !, 195.149.233.100, AS29535, TPIX, TPIX, PL, Warsaw
14899, !, 193.42.155.36, AS13157, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
14900, !, 194.117.52.162, AS31432, COPHIX, Copenhagen Internet eXchange, DK, Copenhagen
14901, !, 206.223.118.29, AS22561, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
14902, !, 195.66.237.217, AS50056, LINX, London Internet Exchange, GB//Kingdom United, London
14903, !, 194.68.128.81, AS702, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
14904, !, 194.146.118.116, AS13237, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
14905, !, 62.69.146.75, AS20940, , European Commercial Internet Exchange, DE, Frankfurt
14906, ?, 187.16.217.141, AS28328, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
14907, !, 27.111.228.140, AS58587, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
14908, !, 195.246.227.130, AS35407, SMILE, Santa Monica Internet Local Exchange, LV, Riga
14909, !, 91.206.52.101, AS57118, SwissIX, SwissIX Internet Exchange, CH, Zurich
14910, !, 5.57.80.198, AS36692, LoNAP, London Network Access Point, GB//Kingdom United, London
14911, !, 62.69.147.254, AS9033, , European Commercial Internet Exchange, DE, Frankfurt
14912, !, 187.16.220.102, AS264397, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
14913, !, 194.116.96.25, AS137, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
14914, !, 80.81.192.253, AS15925, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
14915, !, 218.100.52.139, AS56182, NSW-IX, , AU, Sydney NSW
14916, !, 206.223.116.118, AS58453, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
14917, !, 198.32.176.24, AS2497, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
14918, !, 91.206.52.46, AS33845, SwissIX, SwissIX Internet Exchange, CH, Zurich
14919, ?, 206.197.210.22, AS16586, DRFxchange, DRFxchange, DRF IX, DRFortress Exchange, US, Honolulu
14920, !, 206.72.210.92, AS53582, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
14921, !, 206.81.80.30, AS8075, SIX, Seattle Internet Exchange, US, Seattle
14922, !, 176.126.38.3, AS1241, GR-IX, GReek Internet eXchange, GR, Athens
14923, !, 103.247.139.51, AS2906, AMS-IX Hong Kong, AMS-IX Hong Kong, HK, Hong Kong
14924, !, 194.146.118.147, AS20940, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
14925, !, 62.69.146.23, AS6724, , European Commercial Internet Exchange, DE, Frankfurt
14926, !, 195.66.236.133, AS22822, LINX, London Internet Exchange, GB//Kingdom United, London
14927, ?, 198.32.132.182, AS40220, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
14928, !, 206.223.116.65, AS200077, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
14929, !, 195.42.144.23, AS39444, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
14930, !, 192.121.80.162, AS6939, STHIX, Stockholm Internet eXchange, SE, Stockholm
14931, !, 80.81.203.9, AS42525, DE-CIX Hamburg, DE-CIX Hamburg, DE, Hamburg
14932, !, 201.217.14.10, AS27733, IX.py, Punto de Intercambio de Tráfico de Paraguay, PY, San Lorenzo
14933, !, 37.49.236.61, AS8426, France-IX, France-IX, FR, Paris
14934, !, 212.91.0.32, AS198408, Thinx IX, Thinx Poland, PL, Warsaw
14935, !, 144.92.233.235, AS4150, MadIX, Madison Internet Exchange, US, Madison
14936, ?, 198.32.212.70, AS30081, WAIX, Western Australian Internet Association, IX Australia WA, West Australian Internet Exchange, AU, Perth
14937, !, 80.81.192.107, AS8304, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
14938, !, 206.53.143.22, AS10925, Mass-IX, Massachusetts Internet Exchange, US, Boston
14939, !, 194.68.128.104, AS8220, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
14940, !, 187.16.200.253, AS26162, PTT Central Paulista, PTT Paulista Central - São Carlos, BR, São Carlos
14941, !, 210.171.224.133, AS7668, JPIX, Japan Internet Exchange, JP, Tokyo
14942, !, 195.208.208.88, AS12695, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
14943, !, 198.179.18.20, AS42, QIX, Quebec Internet Exchange, CA, Montreal
14944, !, 200.219.143.104, AS61950, PTT Porto Alegre, , BR, Alegre Porto
14945, !, 206.223.127.34, AS54643, PIX, Peer 1 Internet Exchange, US, York New
14946, !, 80.249.212.171, AS12615, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
14947, !, 194.68.128.210, AS43893, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
14948, !, 198.32.176.188, AS54312, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
14949, !, 206.72.211.64, AS19165, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
14950, !, 192.121.80.243, AS32590, STHIX, Stockholm Internet eXchange, SE, Stockholm
14951, !, 206.126.236.238, AS2906, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
14952, !, 206.126.225.35, AS15296, YYCIX, Calgary Internet Exchange, CA, Calgary
14953, !, 195.66.238.96, AS61124, LINX, London Internet Exchange, GB//Kingdom United, London
14954, !, 195.191.170.148, AS59415, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
14955, !, 196.223.14.93, AS37422, JINX, Johannesburg Internet Exchange, ZA//Africa South, Johannesburg
14956, !, 206.81.80.109, AS21947, SIX, Seattle Internet Exchange, US, Seattle
14957, !, 103.203.156.27, AS38466, , Asia Smart IX [BBIX Asia], JP, Tokyo
14958, !, 27.111.228.194, AS109, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
14959, !, 91.206.52.76, AS6730, SwissIX, SwissIX Internet Exchange, CH, Zurich
14960, !, 37.49.232.9, AS30781, FranceIX Marseille, France-IX Marseille, FR, Marseille
14961, !, 206.55.196.20, AS15547, LINX NoVA, LINX Northern Virginia, US, Virginia Northern
14962, !, 193.136.250.180, AS12353, GIGA-PIX, Gigabit Portugese Internet Exchange, PT, Lisbon
14963, !, 206.223.119.142, AS4826, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
14964, !, 206.223.119.238, AS14907, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
14965, !, 80.249.209.157, AS31500, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
14966, !, 206.51.41.47, AS7385, Coresite - Any 2, Coresite - Any 2 Northern California, US, San Jose
14967, !, 218.100.76.8, AS9268, IX Australia QLD, Queensland Internet Exchange, AU, Brisbane Queensland
14968, !, 218.100.0.86, AS20940, PIPE Brisbane, PIPE Networks Brisbane, AU, Brisbane
14969, !, 206.81.80.201, AS10973, SIX, Seattle Internet Exchange, US, Seattle
14970, !, 195.66.224.196, AS57228, LINX, London Internet Exchange, GB//Kingdom United, London
14971, !, 193.138.31.19, AS48284, S-IX, Stuttgarter Internet Exchange, DE, Stuttgart
14972, !, 80.249.209.187, AS29791, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
14973, !, 5.57.80.125, AS33941, LoNAP, London Network Access Point, GB//Kingdom United, London
14974, !, 206.41.109.21, AS395651, TahoeIX, Tahoe Internet Exchange, US, Northern Nevada//Reno
14975, !, 218.100.44.193, AS55720, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
14976, !, 198.32.160.161, AS17113, NYIIX, New York International Internet Exchange, US, York New
14977, !, 103.246.232.49, AS4694, JPIX OSAKA, Japan Internet Exchange Osaka, JP, Osaka
14978, !, 201.217.14.13, AS52455, IX.py, Punto de Intercambio de Tráfico de Paraguay, PY, San Lorenzo
14979, !, 206.223.119.141, AS26496, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
14980, !, 193.110.224.28, AS24751, FICIX2, FICIX Helsinki / FICIX2, FI, Helsinki
14981, !, 80.249.208.233, AS31027, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
14982, !, 195.42.144.79, AS7500, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
14983, !, 91.210.16.128, AS8928, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
14984, !, 37.49.236.224, AS42929, France-IX, France-IX, FR, Paris
14985, !, 195.42.144.19, AS43573, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
14986, !, 196.46.25.84, AS37525, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
14987, !, 206.108.255.54, AS15267, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
14988, !, 185.1.8.44, AS13414, UAE-IX, UAE-IX powered by DE-CIX, AE, Dubai
14989, !, 80.81.194.185, AS29049, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
14990, !, 193.42.155.56, AS49009, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
14991, !, 200.219.143.136, AS53137, PTT Porto Alegre, , BR, Alegre Porto
14992, !, 206.53.139.22, AS20940, Midwest-IX, , US, Indiana Indianapolis
14993, !, 195.66.244.33, AS5089, IXManchester, IXManchester powered by LINX, GB//Kingdom United, Manchester
14994, !, 187.16.220.105, AS264552, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
14995, !, 80.81.193.50, AS20459, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
14996, !, 193.239.116.167, AS42949, NL-IX, Neutral Internet Exchange, NL, Amsterdam
14997, !, 80.81.192.154, AS25152, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
14998, !, 5.57.81.61, AS8674, LoNAP, London Network Access Point, GB//Kingdom United, London
14999, !, 185.1.35.5, AS49855, BREM-IX, BREM-IX, DE, Bremen
15000, !, 206.53.169.11, AS15169, MegaIX Bay Area, Megaport MegaIX Bay Area, US, San Jose
15001, !, 37.49.237.33, AS41090, France-IX, France-IX, FR, Paris
15002, !, 195.69.117.148, AS29518, Netnod COMIX, Netnod COMIX, SE//DK, Copenhagen Malmo
15003, !, 80.81.192.165, AS9009, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15004, !, 45.127.172.120, AS17819, Equinix Sydney, Equinix Sydney Exchange, AU, Sydney
15005, !, 218.100.76.13, AS132679, IX Australia QLD, Queensland Internet Exchange, AU, Brisbane Queensland
15006, !, 198.32.72.2, AS8781, , Doha-IX, QA, Doha
15007, !, 80.81.194.158, AS34569, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15008, !, 192.65.185.163, AS6830, CIXP, CERN Internet Exchange Point, CH, Geneva
15009, !, 206.41.110.112, AS112, ChIX, United IX Chicago, US, Chicago
15010, !, 193.239.117.59, AS43190, NL-IX, Neutral Internet Exchange, NL, Amsterdam
15011, !, 195.66.224.10, AS2856, LINX, London Internet Exchange, GB//Kingdom United, London
15012, !, 185.6.36.108, AS21320, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
15013, !, 206.108.34.50, AS23498, TORIX, Toronto Internet Exchange, CA, Toronto
15014, !, 193.188.137.168, AS20568, BIX, Budapest Internet Exchange, HU, Budapest
15015, !, 27.111.228.184, AS29990, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
15016, !, 193.239.117.16, AS8075, NL-IX, Neutral Internet Exchange, NL, Amsterdam
15017, !, 217.29.66.211, AS34606, MIX, Milan Internet eXchange, IT, Milan
15018, !, 196.46.25.103, AS20459, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15019, !, 193.110.224.60, AS12552, FICIX2, FICIX Helsinki / FICIX2, FI, Helsinki
15020, !, 206.108.34.158, AS36273, TORIX, Toronto Internet Exchange, CA, Toronto
15021, !, 194.42.48.59, AS9092, Equinix Zurich, Equinix Zurich formerly TIX, CH, Zurich
15022, !, 194.9.117.65, AS25295, ECIX-BER, European Commercial Internet Exchange Berlin, DE, Berlin
15023, !, 195.66.238.148, AS714, LINX, London Internet Exchange, GB//Kingdom United, London
15024, !, 194.68.128.164, AS3327, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
15025, !, 91.198.176.38, AS49455, FIXO, Free Internet eXchange Oslo, NO, Oslo
15026, !, 198.32.141.20, AS3856, SOX, Singapore Open Exchange, SG, Singapore
15027, !, 206.41.106.27, AS6939, AMS-IX BA, AMS-IX Bay Area, US, San Francisco Jose
15028, ?, 198.32.132.43, AS3856, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
15029, !, 193.203.0.80, AS20704, VIX, Vienna Internet Exchange, AT, Vienna
15030, ?, 198.32.132.134, AS18886, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
15031, !, 198.179.18.26, AS19515, QIX, Quebec Internet Exchange, CA, Montreal
15032, !, 185.1.18.20, AS13335, DO-IX, Dortmund Internet eXchange, DE, Dortmund
15033, !, 206.72.210.128, AS11798, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
15034, !, 198.32.141.159, AS4775, SOX, Singapore Open Exchange, SG, Singapore
15035, !, 187.16.223.23, AS262983, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
15036, !, 91.210.16.152, AS43541, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
15037, !, 196.11.234.14, AS25818, ANGONIX, ANGONIX, AO, Luanda
15038, !, 210.171.224.166, AS63199, JPIX, Japan Internet Exchange, JP, Tokyo
15039, !, 37.49.236.138, AS50032, France-IX, France-IX, FR, Paris
15040, !, 196.223.5.57, AS25818, TIX, Tanzania Internet Exchange, TZ, Salaam Dar es
15041, !, 196.46.25.34, AS37542, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15042, !, 196.46.25.247, AS327750, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15043, !, 187.16.201.13, AS262500, PTT Maringá, IX.br Maringá, BR, PR Maringá
15044, !, 206.223.119.97, AS40627, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
15045, !, 206.108.236.31, AS32334, Boston Internet Exchange, Boston Internet Exchange, US, Massachusetts Boston
15046, !, 80.81.192.68, AS13122, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15047, !, 80.81.194.156, AS34984, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15048, !, 200.219.139.150, AS262828, PTT Belo Horizonte, IX.br Belo Horizonte, BR, Horizonte MG Belo
15049, !, 91.206.52.127, AS20612, SwissIX, SwissIX Internet Exchange, CH, Zurich
15050, !, 206.223.116.44, AS26667, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
15051, !, 194.68.123.157, AS9002, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
15052, !, 195.208.208.133, AS47872, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
15053, !, 200.0.17.134, AS27983, , NAP CABASE Buenos Aires, AR, Buenos Aires
15054, !, 206.223.123.47, AS46489, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
15055, !, 195.66.226.130, AS32590, LINX, London Internet Exchange, GB//Kingdom United, London
15056, ?, 198.32.132.139, AS17310, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
15057, !, 200.219.147.40, AS263917, PTT Recife, IX.br Recife, BR, Recife PE
15058, !, 193.239.117.111, AS8283, NL-IX, Neutral Internet Exchange, NL, Amsterdam
15059, !, 206.223.119.145, AS35788, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
15060, !, 218.100.52.50, AS6507, NSW-IX, , AU, Sydney NSW
15061, !, 195.66.237.5, AS29452, LINX, London Internet Exchange, GB//Kingdom United, London
15062, !, 206.223.118.161, AS714, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
15063, !, 206.126.239.254, AS14609, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
15064, !, 193.189.82.137, AS47138, KleyRex, KleyReX Internet Exchange, DE, Frankfurt am Main
15065, !, 196.46.25.138, AS22355, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15066, !, 195.149.232.42, AS20853, TPIX, TPIX, PL, Warsaw
15067, !, 206.223.118.113, AS7342, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
15068, !, 206.81.81.40, AS9318, SIX, Seattle Internet Exchange, US, Seattle
15069, !, 80.249.210.42, AS16347, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15070, !, 103.231.152.66, AS10030, BBIX Singapore, BroadBand Internet eXchange Singapore, SG, Singapore
15071, !, 80.97.248.25, AS3223, BALCAN-IX, Balcan-IX, RO, Bucharest
15072, !, 206.51.46.24, AS10835, Coresite - Any 2, CoreSite - Any2 Denver / Formerly RMIX, US, Denver
15073, !, 193.239.117.205, AS201701, NL-IX, Neutral Internet Exchange, NL, Amsterdam
15074, !, 206.53.174.9, AS46489, MegaIX Dallas, Megaport MegaIX Dallas, US, Dallas
15075, !, 196.46.25.135, AS37179, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15076, !, 193.201.28.35, AS35574, NaMeX, Nautilus Mediterranean Exchange Point, IT, Rome
15077, !, 194.146.118.84, AS20940, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
15078, !, 206.126.237.198, AS11686, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
15079, !, 193.239.117.29, AS58291, NL-IX, Neutral Internet Exchange, NL, Amsterdam
15080, !, 203.159.68.101, AS10089, BKNIX, Bangkok Neutral Internet Exchange, TH, Bangkok
15081, !, 194.116.96.151, AS34695, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
15082, !, 193.188.137.96, AS20845, BIX, Budapest Internet Exchange, HU, Budapest
15083, !, 194.146.118.139, AS13335, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
15084, !, 206.108.34.247, AS6507, TORIX, Toronto Internet Exchange, CA, Toronto
15085, !, 80.81.194.146, AS132876, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15086, !, 206.126.236.147, AS3303, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
15087, !, 195.66.226.247, AS44020, LINX, London Internet Exchange, GB//Kingdom United, London
15088, !, 218.100.24.17, AS38477, CHIX, Christchurch Internet Exchange, NZ//Zealand New, Christchurch
15089, !, 80.249.210.167, AS199332, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15090, ?, 187.16.218.136, AS28615, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
15091, ?, 198.32.212.45, AS133895, WAIX, Western Australian Internet Association, IX Australia WA, West Australian Internet Exchange, AU, Perth
15092, !, 193.219.13.113, AS15419, LIPTAM, Lietuvos Interneto paslaugų tiekėjų apsikeitimo mazgu, LT, Vilnius
15093, !, 206.130.10.69, AS46489, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
15094, !, 80.249.208.77, AS702, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15095, !, 91.206.52.74, AS15169, SwissIX, SwissIX Internet Exchange, CH, Zurich
15096, ?, 77.95.71.126, AS42456, Lyonix, LyonIX, GrenoblIX, GrenoblIX, FR, Lyon//Grenoble
15097, !, 194.146.118.125, AS28801, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
15098, !, 206.81.80.95, AS26792, SIX, Seattle Internet Exchange, US, Seattle
15099, !, 194.68.128.248, AS12850, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
15100, !, 200.219.138.52, AS263395, PTT Rio de Janeiro, IX.br Rio de Janeiro, BR, Janeiro Rio RJ de
15101, !, 195.66.225.62, AS43323, LINX, London Internet Exchange, GB//Kingdom United, London
15102, !, 196.10.140.75, AS37422, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
15103, !, 80.81.192.144, AS6667, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15104, !, 62.69.146.48, AS42, , European Commercial Internet Exchange, DE, Frankfurt
15105, !, 206.72.210.98, AS31972, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
15106, !, 37.49.237.115, AS37693, France-IX, France-IX, FR, Paris
15107, ?, 200.0.19.10, AS52294, NAP CABASE Neuquén, NAP CABASE Neuquén, CABASE-NQN, CABASE IXP Neuquén, AR, Neuquén
15108, !, 195.130.211.13, AS12969, RIX, Reykjavik Internet Exchange, IS, Reykjavik
15109, ?, 187.16.217.114, AS23128, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
15110, !, 5.57.80.238, AS42, LoNAP, London Network Access Point, GB//Kingdom United, London
15111, !, 187.16.221.189, AS28260, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
15112, !, 206.72.211.36, AS54183, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
15113, !, 200.219.139.109, AS16735, PTT Belo Horizonte, IX.br Belo Horizonte, BR, Horizonte MG Belo
15114, !, 206.81.83.45, AS11924, SIX Seattle, Seattle Internet Exchange, US, Seattle
15115, !, 200.219.141.45, AS53097, PTT Florianopolis, IX.br Florianópolis, BR, SC Florianopolis
15116, !, 119.27.63.43, AS2635, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
15117, !, 80.249.208.44, AS50304, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15118, !, 196.46.25.144, AS37168, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15119, !, 206.130.10.61, AS21976, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
15120, !, 206.126.236.192, AS40428, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
15121, !, 119.27.63.22, AS4739, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
15122, !, 193.110.224.29, AS13335, FICIX2, FICIX Helsinki / FICIX2, FI, Helsinki
15123, !, 196.46.25.49, AS328001, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
15124, !, 195.66.224.132, AS29636, LINX, London Internet Exchange, GB//Kingdom United, London
15125, ?, 187.16.217.185, AS2906, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
15126, !, 37.49.237.77, AS31595, France-IX, France-IX, FR, Paris
15127, !, 37.49.236.193, AS33930, France-IX, France-IX, FR, Paris
15128, !, 192.38.7.35, AS12969, DIX, Danish Internet Exchange, DK, Copenhagen
15129, !, 206.223.127.26, AS30539, PIX, Peer 1 Internet Exchange, US, York New
15130, !, 195.42.145.127, AS203596, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
15131, !, 195.140.192.39, AS29422, TREX, Tampere Region Exchange, FI, Tampere
15132, !, 185.1.15.19, AS4788, SH-IX, SMARTHUB Internet Exchange, AE, Fujairah UAE
15133, !, 95.140.128.38, AS9104, VSIX, VSIX NAP del Nord Est, IT, Padova
15134, !, 80.81.194.175, AS16178, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
15135, !, 195.66.226.36, AS36236, LINX, London Internet Exchange, GB//Kingdom United, London
15136, !, 188.93.170.62, AS198287, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
15137, ?, 198.32.118.206, AS13335, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
15138, !, 80.249.208.45, AS47065, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15139, !, 195.42.144.139, AS39180, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
15140, !, 194.42.48.93, AS41913, Equinix Zurich, Equinix Zurich formerly TIX, CH, Zurich
15141, !, 37.49.236.124, AS25273, France-IX, France-IX, FR, Paris
15142, !, 198.32.125.70, AS5580, NOTA, NAP of the Americas, US, Miami
15143, !, 91.210.16.29, AS5578, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
15144, !, 80.249.212.209, AS59318, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15145, !, 195.66.224.35, AS6067, LINX, London Internet Exchange, GB//Kingdom United, London
15146, !, 185.6.36.34, AS34912, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
15147, !, 195.42.144.110, AS31564, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
15148, !, 62.69.146.70, AS8075, , European Commercial Internet Exchange, DE, Frankfurt
15149, !, 200.1.6.17, AS19582, NAP.EC - UIO, NAP / IXP / IX / PIT del Ecuador - Quito, EC, Quito UIO
15150, ?, 198.32.118.104, AS54113, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
15151, !, 195.66.237.89, AS15399, LINX, London Internet Exchange, GB//Kingdom United, London
15152, !, 80.249.209.133, AS22822, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15153, !, 187.16.201.17, AS53115, PTT Maringá, IX.br Maringá, BR, PR Maringá
15154, !, 195.66.225.241, AS12654, LINX, London Internet Exchange, GB//Kingdom United, London
15155, !, 123.255.91.81, AS9269, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
15156, !, 195.69.118.236, AS34244, Netnod COMIX, Netnod Internet Exchange i Sverige AB, SE, Copenhagen Malmo
15157, !, 80.249.208.228, AS43350, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
15158, !, 103.26.71.9, AS9443, MegaIX Melbourne, Megaport MegaIX Melbourne, AU, Melbourne
15159, !, 103.26.68.54, AS9280, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
